NO.,NAMA KONTRAKTOR, GRED, NEGERI, DAERAH, NO. TELEFON, NO. FAKS, PPK, SPKK, STB
229,"HAJR TEKNIK",G1,PERAK,MANJUNG, 056887875, -, Yes, Yes, Yes
230,"HALA DINAMIK ENTERPRISE",G1,PERAK,MANJUNG, 01-25748116, , Yes, Yes, Yes
231,"HALIM LC RESOURCES",G1,PERAK,MANJUNG, 01113375967, , Yes, Yes, Yes
232,"HALIM YAHYA ENTERPRISE",G1,PERAK,MANJUNG, 056882164, 056888970, Yes, Yes, Yes
233,"HANIF ENTERPRISE",G1,PERAK,MANJUNG, 05-6888169, -, Yes, Yes, Yes
234,"HANIS UNGGUL ENTERPRISE",G1,PERAK,MANJUNG, 01-75830669, , Yes, Yes, Yes
235,"HANNAN AKTIF ENTERPRISE",G1,PERAK,MANJUNG, 01-25693532, , Yes, Yes, Yes
236,"HAQEM CIPTA ENTERPRISE",G1,PERAK,MANJUNG, 01-61527983, , Yes, Yes, Yes
237,"HARAQ SEPADU ENTERPRISE",G1,PERAK,MANJUNG, 05-6721540, -, Yes, Yes, Yes
238,"HASIL TEKAD RESOURCES",G1,PERAK,MANJUNG, 0125762768, 0125762768, Yes, Yes, Yes
239,"HAZ ONE ENTERPRISE",G1,PERAK,MANJUNG, 01-95689531, , Yes, Yes, Yes
240,"HAZIM GREAT ENTERPRISE",G1,PERAK,MANJUNG, 01113178460, , Yes, Yes, Yes
241,"HBI LEKIR ENTERPRISE",G1,PERAK,MANJUNG, 0175921181, , Yes, Yes, Yes
242,"HELMAS JAYA ENTERPRISE",G1,PERAK,MANJUNG, 01-26799062, 01-26799062, Yes, Yes, Yes
243,"HIAS ENTERPRISE",G1,PERAK,MANJUNG, 0195958377, -, Yes, Yes, Yes
244,"HIJET WORK ENTERPRISE",G1,PERAK,MANJUNG, 01-74650756, , Yes, Yes, Yes
245,"HILLAKE SUPPLY & SERVICES",G1,PERAK,MANJUNG, 01-85760383, , Yes, Yes, Yes
246,"HIRAZU ENTERPRISE",G1,PERAK,MANJUNG, 01-77214984, 0, Yes, Yes, Yes
247,"HLA RESOURCES",G1,PERAK,MANJUNG, 01-89704736, , Yes, Yes, Yes
248,"HMD PRECAST AND CONSTRUCTION",G1,PERAK,MANJUNG, 01-23180154, , Yes, , 
249,"HN MAJU RESOURCES",G1,PERAK,MANJUNG, 01-75808579, , Yes, Yes, Yes
250,"HNE ENTERPRISE",G1,PERAK,MANJUNG, 01-94977952, , Yes, Yes, Yes
251,"HOK TU ENTERPRISE",G1,PERAK,MANJUNG, 01-94615051, , Yes, Yes, Yes
252,"HQH IDEALS",G1,PERAK,MANJUNG, 01-23203923, , Yes, Yes, Yes
253,"HR ENGINEERING ENTERPRISE",G1,PERAK,MANJUNG, 01-75186416, , Yes, Yes, Yes
