NO.,NAMA KONTRAKTOR, GRED, NEGERI, DAERAH, NO. TELEFON, NO. FAKS, PPK, SPKK, STB
197,MEGA MANJUNG ENTERPRISE,G1,PERAK,MANJUNG, -, 05-6793826, Yes, Yes, Yes
198,MEGA XAMIDS EMPIRE,G1,PERAK,MANJUNG, 01-64222771, , Yes, Yes, Yes
199,MEGA ZEBRA ENTERPRISE,G1,PERAK,MANJUNG, 05-6916653,56916653, Yes, Yes, Yes
200,MELATI ELIT ENTERPRISE,G1,PERAK,MANJUNG, 01-95098332, , Yes, Yes, Yes
201,MERAH SALJU ENTERPRISE,G1,PERAK,MANJUNG, 05-6912833, , Yes, Yes, Yes
202,MF VENTURE ENTERPRISE,G1,PERAK,MANJUNG, 01-25715875, , Yes, Yes, Yes
203,MIDE ENTERPRISE,G1,PERAK,MANJUNG, 01-75361870, -, Yes, Yes, Yes
204,MIH NIAGA ENTERPRISE,G1,PERAK,MANJUNG, 01-25080249, , Yes, Yes, Yes
205,MIKHAIL EKSKLUSIF,G1,PERAK,MANJUNG, 05-6888449, , Yes, Yes, Yes
206,MILLENIUM ICHABAN JUNIOR,G1,PERAK,MANJUNG,125521852, -, Yes, Yes, Yes
207,MILLENNIUM ICHIBAN SDN. BHD.,G1,PERAK,, 01-25235631, , Yes, Yes, Yes
208,MINSAHAB ENTERPRISE,G1,PERAK,MANJUNG,134059495, , Yes, Yes, Yes
209,MISA MAJU ENTERPRISE,G1,PERAK,MANJUNG, 01-11128842, , Yes, Yes, Yes
210,MLAPAN ENTERPRISE,G1,PERAK,MANJUNG, 01-72677017, , Yes, Yes, Yes
211,MLN ENTERPRISE,G1,PERAK,MANJUNG, 01-74176656, , Yes, Yes, Yes
212,MOQAL ENTERPRISE,G1,PERAK,MANJUNG, 01-25060607, -, Yes, Yes, Yes
213,MSEEFARZ GLOBAL,G1,PERAK,MANJUNG, 01-25370453, , Yes, Yes, Yes
214,MSLOKA ENTERPRISE,G1,PERAK,MANJUNG,1172727267, , Yes, Yes, Yes
215,MUTIARA SALJU ENTERPRISE,G1,PERAK,MANJUNG, 05-6888349, , Yes, Yes, Yes
216,MUTIARA SUTERA GLOBAL,G1,PERAK,MANJUNG, 01-25244781,0, Yes, Yes, Yes
217,NABILAH MH RESOURCES,G1,PERAK,MANJUNG, 01-62519015, , Yes, Yes, Yes
218,NADHIRMAIL RESOURCES,G1,PERAK,MANJUNG,0, , Yes, Yes, Yes
219,NADI BEKAL TRADING,G1,PERAK,MANJUNG, 01-95125125, , Yes, Yes, Yes
220,NAILA EMPIRE,G1,PERAK,MANJUNG, 05-6888349, , Yes, Yes, Yes
221,NAN MAZ ENTERPRISE,G1,PERAK,MANJUNG, 01-89577958, , Yes, Yes, Yes
222,NASAHROM ENTERPRISE,G1,PERAK,MANJUNG,0,0, Yes, Yes, Yes
223,NASOMA ENTERPRISE,G1,PERAK,MANJUNG,56871881,56871881, Yes, Yes, Yes
224,NAZ IDEAL LEGACY,G1,PERAK,MANJUNG, 01-95964715, , Yes, Yes, Yes
225,NDIN ENTERPRISE,G1,PERAK,MANJUNG, 01-95241677, , Yes, Yes, Yes
226,NEE ENTERPRISE,G1,PERAK,MANJUNG, 01-35512535, , Yes, Yes, Yes
227,NENASTI ENTERPRISE,G1,PERAK,MANJUNG,56727690,56727690, Yes, Yes, Yes
228,NHO MEKAR RESOURCES,G1,PERAK,MANJUNG, 01-25960454, , Yes, Yes, Yes
229,NISTECH JAYA ENTERPRISE,G1,PERAK,MANJUNG, 05-6972479, 05-6972478, Yes, Yes, Yes
230,NKF FUTURE,G1,PERAK,MANJUNG, 01-35925980, , Yes, Yes, Yes
231,NLA NIAGA ENTERPRISE,G1,PERAK,MANJUNG, 01-24423420, -, Yes, Yes, Yes
232,NN FLORA ENTERPRISE,G1,PERAK,MANJUNG, 01-34444223, -, Yes, Yes, Yes
233,NR ENERGY ENTERPRISE,G1,PERAK,MANJUNG, 01-34337564, , Yes, Yes, Yes
